ra,dec
18.2332,0.9801
20.3196,-0.5443
20.5106,0.3345
21.1401,1.7315
21.4992,-1.3430
24.9462,-2.0362
25.2363,-2.1857
25.5720,-2.1444
27.3153,-3.6841
30.6083,-4.1843
31.1289,-6.1996
31.2713,-6.5074
31.4521,-5.2940
32.4145,-6.9228
36.5913,-9.8419
37.1069,-10.0285
37.2047,-10.0742
40.0843,-12.4875
40.1190,-12.8767
40.3802,-13.7586
40.3961,-13.0422
40.8729,-14.7543
40.9680,-14.8107
41.1316,-14.6454
42.9186,-16.6505
43.7393,-17.0519
45.0924,-17.1523
45.6602,-18.8978
49.9212,-19.4109
53.4004,-36.1379
64.9992,-54.9382
85.5016,-22.9454
86.8414,-35.8241
86.8770,-25.1232