nbid,notebook
0000,DataLabNotebookTemplate.ipynb
0001,01_GettingStartedWithDataLab/01_JupyterPythonSQL101.ipynb
0002,01_GettingStartedWithDataLab/02_GettingStartedWithDataLab.ipynb
0003,02_DataAccessOverview/DataAccessOverview.ipynb
0004,03_ScienceExamples/DESI/01a_Intro_to_DESI_DR1-Py3.ipynb
0005,03_ScienceExamples/DESI/01_Intro_to_DESI_EDR.ipynb
0006,03_ScienceExamples/DESI/02_DESI_EDR_SDSS_Comparison.ipynb
0007,03_ScienceExamples/DwarfGalaxies/DwarfGalaxiesInDelveDr2.ipynb
0008,03_ScienceExamples/DwarfGalaxies/DwarfGalaxiesInDesDr1.ipynb
0009,03_ScienceExamples/DwarfGalaxies/DwarfGalaxiesInNscDr2.ipynb
0010,03_ScienceExamples/DwarfGalaxies/DwarfGalaxiesInSmash.ipynb
0011,03_ScienceExamples/EmLineGalaxies/01_EmLineGalaxies_SpectraStack.ipynb
0012,03_ScienceExamples/EmLineGalaxies/02_EmLineGalaxies_Outliers.ipynb
0013,03_ScienceExamples/ExploringM31/M31_resolved_stellar_pops.ipynb
0014,03_ScienceExamples/ExploringM31/M31WithPhat.ipynb
0015,03_ScienceExamples/GalacticStructure/ExploringSMASHDR2.ipynb
0016,03_ScienceExamples/GalacticStructure/GalacticStructureDECaPS.ipynb
0017,03_ScienceExamples/GalacticStructure/StarClustersGaiaDR3.ipynb
0018,03_ScienceExamples/GNIRS_DQS_SpectralInventory/GNIRS_DQS_DataAccessAtDataLab.ipynb
0019,03_ScienceExamples/GOGREEN_GalaxiesInRichEnvironments/0_GOGREENDr1FileService.ipynb
0020,03_ScienceExamples/GOGREEN_GalaxiesInRichEnvironments/1_GOGREENDr1DataAccessAtDataLab.ipynb
0021,03_ScienceExamples/GOGREEN_GalaxiesInRichEnvironments/2_GOGREENDr1SIA.ipynb
0022,03_ScienceExamples/GOGREEN_GalaxiesInRichEnvironments/3_GOGREENDr1ClusterMembership.ipynb
0023,03_ScienceExamples/GOGREEN_GalaxiesInRichEnvironments/4_GOGREENDr1Spec1DRedshift.ipynb
0024,03_ScienceExamples/LargeScaleStructure/LargeScaleStructureSdssLs.ipynb
0025,03_ScienceExamples/MagellanicClouds/ExploringStellarPopulationsAroundMCsWithVHSDR5.ipynb
0026,03_ScienceExamples/Pal5TidalTails/Palomar5InNSCGaia.ipynb
0027,03_ScienceExamples/SpectralEnergyDistributions/MidInfraredPhotometry_unWISEdr1_AllWISE.ipynb
0028,03_ScienceExamples/SpectralEnergyDistributions/SpectralEnergyDistributionsInSplusDr1.ipynb
0029,03_ScienceExamples/StarGalQSOSeparation/StarGalQsoDESDR1.ipynb
0030,03_ScienceExamples/StarGalQSOSeparation/StarGalQsoLSDR9.ipynb
0031,03_ScienceExamples/StarGalQSOSeparation/StarGalQsoLSDR9_master.ipynb
0031,03_ScienceExamples/TimeSeriesAnalysisRrLyraeStar/TimeSeriesAnalysisOfRrLyraeStar.ipynb
0032,03_ScienceExamples/WhiteDwarfs/HypervelocityWhiteDwarfCandidatesInGaiaDR3.ipynb
0033,04_HowTos/AuthClient/How_to_use_the_Data_Lab_AuthClient.ipynb
0034,04_HowTos/CrossmatchTables/Examples_using_pre_crossmatched_tables.ipynb
0035,04_HowTos/CrossmatchTables/How_to_crossmatch_tables.ipynb
0036,04_HowTos/CrossmatchTables/How_to_use_pre_crossmatched_tables.ipynb
0037,04_HowTos/DataReduction/DragonsGMOS/DataReductionDragonsGMOS.ipynb
0038,04_HowTos/DataReduction/DRAGONS_reduction_examples/Flamingos2_Imaging_BrownDwarf/Flamingos2_Imaging_BrownDwarf.ipynb
0039,04_HowTos/DataReduction/DRAGONS_reduction_examples/GMOS_Imaging_Galaxy/GMOS_Imaging_Galaxy.ipynb
0040,04_HowTos/DataReduction/DRAGONS_reduction_examples/GMOS_Imaging_StarryField/GMOS_Imaging_StarryField.ipynb
0041,04_HowTos/DataReduction/DRAGONS_reduction_examples/GMOS_longslit_WhiteDwarf/GMOS_longslit_WhiteDwarf.ipynb
0042,04_HowTos/DataReduction/DRAGONS_reduction_examples/GNIRS_Imaging_GammaRayBurst/GNIRS_Imaging_GammaRayBurst.ipynb
0043,04_HowTos/DataReduction/DRAGONS_reduction_examples/GSAOI_Imaging_EllipticalGalaxy/GSAOI_Imaging_EllipticalGalaxy.ipynb
0044,04_HowTos/DataReduction/DRAGONS_reduction_examples/NIRI_Imaging_Supernova/NIRI_Imaging_Supernova.ipynb
0045,04_HowTos/DataReduction/PyrafGMOS/DataReductionPyrafGMOS.ipynb
0046,04_HowTos/FileService/How_to_use_SDSS_Data.ipynb
0047,04_HowTos/FileService/How_to_use_the_File_Services.ipynb
0048,04_HowTos/QueryClient/How_to_query_DESI_EDR_Data.ipynb
0049,04_HowTos/QueryClient/How_to_use_the_Data_Lab_QueryClient.ipynb
0050,04_HowTos/SiaService/How_to_use_the_Simple_Image_Access_service.ipynb
0051,04_HowTos/SPARCL/How_to_use_SPARCL.ipynb
0052,04_HowTos/SPARCL/Plot_SPARCL_Spectra_with_Jdaviz.ipynb
0053,04_HowTos/SPARCL/Plot_SPARCL_Spectra_with_Prospect.ipynb
0054,04_HowTos/StoreClient/How_to_use_the_Data_Lab_StoreClient.ipynb
0055,05_Contrib/ExtraGalactic/BaryonicAcousticOscillations/BaryonicAcousticOscillation_BOSSDR12.ipynb
0056,05_Contrib/ExtraGalactic/HI_in_galaxies_interactive/HIPASS_interactive.ipynb
0057,05_Contrib/ExtraGalactic/Milky_Way_Analogues_Legacy/Milky_Way_Analogues_LS_DR9.ipynb
0058,05_Contrib/Galactic/DELVE_DR1/DELVE_access_dr1.ipynb
0059,05_Contrib/Galactic/StellarStreamDESDR1/StellarStreamDESDR1.ipynb
0060,05_Contrib/LSST_Sim/lsst_sim_SGP_plots.ipynb
0061,05_Contrib/LSST_Sim/single_and_binary_models.ipynb
0062,05_Contrib/TimeDomain/AntaresDevKit/AntaresFilterDevKit.ipynb
0063,05_Contrib/TimeDomain/AntaresDevKitGravitationalWaves/AntaresDevKitGravitationalWaves.ipynb
0064,05_Contrib/TimeDomain/AntaresExample/AntaresSolarSystemObjectLightCurveExploration.ipynb
0065,05_Contrib/TimeDomain/AntaresExample/AntaresVariableRCBStars.ipynb
0066,05_Contrib/TimeDomain/LightcurvesPhotometrySearch/LightcurvesPhotometrySearch.ipynb
0067,05_Contrib/TimeDomain/PhotoReverberationMappingAGN/PhotoReverberationMappingAGN.ipynb
0068,03_ScienceExamples/DESILegacyIS/DESILegacySurveys.ipynb
0069,03_ScienceExamples/PGIRLightCurves/PGIR_DR1_light_curves.ipynb
0070,03_ScienceExamples/LargeScaleStructure/LargeScaleStructureSdssCosmicSlime.ipynb
0071,04_HowTos/DataReduction/DRAGONS_reduction_examples/GHOST_IFU_Star/GHOST_IFU_Star.ipynb
0072,03_ScienceExamples/MagellanicClouds/ExtremelyMetalPoorStarsInTheLMC.ipynb
0073,04_HowTos/QueryClient/How_to_query_DESI_DR1_Data.ipynb
0074,03_ScienceExamples/DESI/01_Intro_to_DESI_DR1.ipynb
0075,04_HowTos/DataReduction/DRAGONS_reduction_examples/GNIRS_longslit_Bestar.ipynb